Time,Event_Type,Direction,Src_IP,Dest_IP,Payload_MB_or_Delay_MS
03:51:45,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:51:45,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0156
03:51:45,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:45,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:45,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:45,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:46,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:51:46,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.9978
03:51:46,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.0127
03:51:46,NETWORK_IO,IN_RECV,127.0.0.1,127.0.0.1,0.0312
03:51:46,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:46,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:47,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:51:47,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0137
03:51:47,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:47,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:47,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:47,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:48,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:48,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:49,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:51:49,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:49,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:49,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:49,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:50,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:50,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:51,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0144
03:51:51,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.54,1.0
03:51:51,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0137
03:51:51,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:51,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:51,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:51,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:52,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:52,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:52,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:52,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:53,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:53,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.59,1.0
03:51:53,NETWORK_IO,OUT_SEND,192.168.52.110,20.189.173.14,0.0156
03:51:53,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:53,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2359
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.0981
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1765
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.5979
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.3563
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9985
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8888
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.8793
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.0612
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2055
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.1753
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.9774
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.6464
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,3.5453
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,2.6013
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.2562
03:51:54,SCHED_DELAY,CPU_WAIT,LOCAL,LOCAL,1.502
03:51:54,TCP_RETRANSMIT,DROP,192.168.52.110,185.125.188.57,1.0
03:51:54,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:54,NETWORK_IO,IN_RECV,20.189.173.14,192.168.52.110,0.0166
03:51:54,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
03:51:54,NETWORK_IO,IN_RECV,192.168.2.245,192.168.52.110,0.0166
